YEAR,WEEK,PTPM_CON,HRA2_AUT_60_MEAN,HRA2_AUT_60_AMAX,HRA2_AUT_60_AMIN,TA2_AUT_60_MEAN,TA2_AUT_60_AMAX,TA2_AUT_60_AMIN,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3,CONFIRMED_CASES,ALL_CASES
2009,49,23.4,,,,,,,23.009999999999998,0.3728571428571429,26.607142857142865,1.4914285714285713,29.700000000000006,1.1899999999999997,28.28428571428572,1.6942857142857144,125.0,227.0
2009,50,13.1,,,,,,,23.16,0.35000000000000003,26.67000000000001,1.5299999999999998,29.67000000000001,1.18,28.300000000000004,1.7200000000000002,112.0,213.0
2009,51,6.3999999999999995,,,,,,,23.16,0.35000000000000003,26.67000000000001,1.5299999999999998,29.67000000000001,1.18,28.300000000000004,1.7200000000000002,143.0,234.0
2018,15,54.4,77.94642857142857,96.0,50.0,,,,24.580000000000002,-1.0199999999999998,27.12,-0.37999999999999995,28.63,0.12,27.42000000000001,-0.35999999999999993,9.0,65.0
2018,16,3.1,76.07142857142857,96.0,51.0,,,,24.580000000000002,-1.0199999999999998,27.12,-0.37999999999999995,28.63,0.12,27.42000000000001,-0.35999999999999993,4.0,65.0
2018,17,21.5,79.03571428571429,97.0,51.0,,,,24.580000000000002,-1.0199999999999998,27.12,-0.37999999999999995,28.63,0.12,27.42000000000001,-0.35999999999999993,9.0,71.0
2018,18,71.7,78.79761904761905,97.0,53.0,,,,23.851428571428574,-0.6085714285714285,26.965714285714284,-0.18285714285714286,28.955714285714286,0.2057142857142857,27.677142857142858,-0.16285714285714287,9.0,71.0
2018,19,66.4,81.97023809523807,98.0,55.0,,,,23.729999999999997,-0.54,26.94,-0.15,29.009999999999998,0.22,27.72,-0.13,4.0,81.0
2018,20,26.5,81.00000000000001,100.0,54.0,,,,23.729999999999997,-0.54,26.94,-0.15,29.009999999999998,0.22,27.72,-0.13,7.0,96.0
2018,36,0.7,,,,,,,20.31,-0.03,25.199999999999996,0.35000000000000003,29.17000000000001,0.48,27.099999999999998,0.37999999999999995,9.0,65.0
2018,37,16.6,,,,,,,20.31,-0.03,25.199999999999996,0.35000000000000003,29.17000000000001,0.48,27.099999999999998,0.37999999999999995,7.0,58.0
2018,38,0.0,67.39999999999999,96.0,43.0,,,,20.31,-0.03,25.199999999999996,0.35000000000000003,29.17000000000001,0.48,27.099999999999998,0.37999999999999995,6.0,48.0
