time, SurfAirTemp_A, SurfAirTemp_D, RelHum_A_H2OPrsLvls_A, RelHum_D_H2OPrsLvls_D,precipitation,NINO1_2,ANOM_12,NINO3,ANOM_3,NINO4,ANOM_4,NINO3_4,ANOM_34,Sin_ajustar,Sospechoso,Probable,Confirmado_Lab,Confirmado_Cli,Confirmado_Nexo,Confirmados,Todos
01,22.2640629,16.568750400000003,75.5625,75.5,183.89828500000002,24.33,-0.13,25.0,-0.63,27.68,-0.62,25.64,-0.93,0,0,74,7,0,0,7,81
02,23.9671879,17.1625004,82.0,80.3125,130.575958,26.46,0.39,26.08,-0.29,27.39,-0.71,26.08,-0.64,0,0,86,0,0,0,0,86
03,22.8500004,17.5765629,68.6875,70.625,332.921692,26.77,0.25,26.54,-0.6,27.79,-0.4,26.57,-0.65,0,0,111,3,0,0,3,114
04,22.1468754,16.9828129,68.75,85.375,334.685577,24.15,-1.32,27.25,-0.25,28.38,-0.12,27.59,-0.19,0,0,64,9,0,0,9,73
05,22.3265629,16.615625400000003,73.125,89.25,264.284668,23.86,-0.34,27.04,-0.04,28.91,0.12,27.91,0.06,0,0,70,21,0,0,21,91
06,21.7640629,16.404687900000003,60.25,91.0,249.717651,22.77,-0.05,26.44,0.01,29.15,0.31,27.85,0.2,0,0,61,4,0,0,4,65
07,22.7562504,16.451562900000003,84.0,81.625,107.612137,22.19,0.59,25.8,0.18,29.07,0.27,27.35,0.13,1,0,72,16,0,2,18,90
08,22.4906254,16.8187504,70.6875,86.75,127.23458899999999,21.59,0.94,25.45,0.46,29.22,0.54,27.22,0.4,1,0,53,22,2,3,27,80
09,22.8187504,16.576562900000003,67.6875,85.0,117.56623799999998,21.43,1.07,25.74,0.89,29.4,0.71,27.34,0.62,0,0,61,10,0,0,10,71
10,22.2171879,16.271875400000003,80.0,80.0,240.64968900000002,22.22,1.4,25.96,1.04,29.44,0.78,27.47,0.78,0,0,79,40,0,0,40,119
11,21.4750004,15.4828129,70.3125,86.5,323.848785,22.69,1.1,26.07,1.09,29.63,1.0,27.73,1.08,1,0,31,60,0,0,60,91
12,21.0843754,15.8578129,73.0625,87.3125,269.730682,23.45,0.66,26.36,1.22,29.47,0.98,27.76,1.19,0,0,41,23,6,0,29,70
01,22.6000004,16.8421879,87.5,77.5,199.79251100000002,24.99,0.53,26.5,0.87,28.93,0.63,27.26,0.69,0,0,79,50,0,0,50,129
02,23.2171879,17.3500004,58.25,86.25,96.2701492,26.24,0.17,26.45,0.08,28.62,0.52,26.81,0.09,0,0,68,74,0,0,74,142
03,22.3343754,17.4593754,66.5,89.125,191.514557,25.74,-0.78,26.79,-0.35,28.57,0.38,27.18,-0.04,0,0,59,94,0,0,94,153
04,22.9125004,17.0687504,59.78125,83.5625,336.329834,24.3,-1.17,27.13,-0.37,28.7,0.2,27.78,0.0,0,0,73,72,0,0,72,145
05,22.0453129,17.0531254,71.25,79.5,271.599182,22.73,-1.47,26.35,-0.73,28.86,0.07,27.57,-0.28,0,0,127,93,0,2,95,222
06,21.9593754,16.381250400000003,72.3125,90.375,97.14589690000001,21.59,-1.23,25.83,-0.6,28.98,0.14,27.55,-0.1,0,0,66,103,0,2,105,171
07,22.1859379,15.7875004,68.75,86.8125,122.781578,20.27,-1.33,24.79,-0.83,28.81,0.01,26.79,-0.43,0,0,62,74,0,0,74,136
08,21.5453129,16.381250400000003,71.5,85.625,196.19898999999998,19.16,-1.49,23.86,-1.13,28.58,-0.1,26.2,-0.62,0,0,63,62,0,2,64,127
09,22.5375004,16.568750400000003,75.6875,80.0,114.712906,18.57,-1.79,23.52,-1.33,28.12,-0.57,25.77,-0.95,0,0,76,68,0,2,70,146
10,21.6859379,16.248437900000003,66.1875,86.75,334.12915,18.8,-2.02,23.36,-1.56,27.86,-0.8,25.22,-1.47,0,0,43,107,0,3,110,153
11,21.7406254,16.209375400000003,60.125,83.5,229.81370499999997,19.49,-2.1,23.17,-1.81,27.42,-1.21,25.06,-1.59,0,0,50,50,0,4,54,104
12,21.0375004,15.8734379,70.0,91.875,279.394196,21.02,-1.77,23.59,-1.55,27.3,-1.19,24.97,-1.6,0,0,46,49,0,0,49,95
01,21.8656254,15.9828129,69.0,82.75,189.864899,23.86,-0.6,24.13,-1.5,26.62,-1.68,24.71,-1.86,0,0,85,21,0,0,21,106
02,22.2953129,16.631250400000003,70.875,85.5,228.870316,26.32,0.25,25.05,-1.32,26.43,-1.67,24.83,-1.89,0,0,64,42,0,1,43,107
03,22.6234379,17.2640629,77.0,88.5,204.719025,27.3,0.78,26.56,-0.58,26.84,-1.35,26.07,-1.15,0,0,28,59,0,0,59,87
04,22.5375004,16.8890629,62.84375,82.1875,246.022354,25.89,0.42,27.18,-0.32,27.44,-1.06,26.83,-0.95,0,0,33,52,0,0,52,85
05,21.9906254,16.600000400000003,59.9375,86.375,300.66555800000003,24.41,0.21,27.08,0.0,27.9,-0.89,27.18,-0.67,0,0,41,62,0,1,63,104
06,21.7093754,16.279687900000003,53.1875,86.3125,218.338867,23.55,0.73,26.53,0.1,28.08,-0.76,27.17,-0.48,0,0,40,58,0,2,60,100
07,21.3890629,15.9906254,61.46875,87.9375,192.737778,22.63,1.03,26.12,0.5,28.25,-0.55,27.19,-0.03,0,0,36,53,0,4,57,93
08,21.5140629,15.4828129,73.8125,81.375,181.84536699999998,21.79,1.14,25.63,0.64,28.18,-0.5,26.85,0.03,0,0,32,50,0,2,52,84
09,21.9671879,15.9203129,62.5,83.875,129.124268,21.19,0.83,25.09,0.24,28.14,-0.55,26.44,-0.28,0,0,36,59,0,6,65,101
10,21.6625004,15.4906254,65.625,88.5,347.905975,20.75,-0.07,24.79,-0.13,28.29,-0.37,26.33,-0.36,0,0,53,57,0,1,58,111
11,21.3500004,15.7484379,62.90625,87.875,272.079834,21.44,-0.15,24.75,-0.23,28.08,-0.55,26.3,-0.35,0,0,54,61,0,2,63,117
12,21.6625004,16.014062900000003,80.0,73.25,192.692947,22.43,-0.36,24.6,-0.54,27.72,-0.77,25.74,-0.83,0,0,36,72,0,3,75,111
01,21.1312504,15.8265629,70.3125,84.8125,179.622711,24.42,-0.1,25.03,-0.6,27.42,-0.88,25.54,-1.03,0,0,39,69,0,0,69,108
02,22.4828129,17.4125004,68.3125,87.625,140.907227,26.03,-0.11,25.85,-0.52,27.37,-0.73,26.04,-0.68,0,0,67,67,0,6,73,140
03,22.5375004,17.1703129,74.125,77.9375,349.577454,26.38,-0.26,26.44,-0.7,27.79,-0.4,26.67,-0.55,0,0,89,77,0,2,79,168
04,22.8343754,16.9437504,73.625,89.125,143.887527,25.98,0.37,27.39,-0.11,28.37,-0.13,27.5,-0.27,0,0,94,133,0,4,137,231
05,22.5765629,16.217187900000003,71.625,89.0,179.598755,24.83,0.56,27.4,0.32,28.99,0.2,28.03,0.18,0,0,161,182,0,2,184,345
06,22.1781254,16.178125400000003,66.625,90.625,163.51495400000002,23.73,0.85,27.12,0.69,29.2,0.36,28.11,0.47,0,0,237,237,0,2,239,476
07,22.2328129,16.498437900000003,64.0625,80.1875,84.4914017,22.63,1.02,26.56,0.94,29.21,0.4,27.94,0.72,0,0,272,341,0,17,358,630
08,22.5218754,16.435937900000003,53.25,90.0625,92.08058929999999,21.64,1.0,25.94,0.95,29.21,0.53,27.53,0.71,0,0,459,519,0,37,556,1015
09,23.5218754,16.584375400000003,74.0,88.0,111.628487,20.82,0.47,25.66,0.8,29.28,0.58,27.47,0.75,0,0,458,562,0,35,597,1055
10,22.8578129,16.482812900000003,75.5625,90.6875,209.155518,20.96,0.17,25.73,0.81,29.65,0.99,27.63,0.94,0,0,452,596,0,14,610,1062
11,22.0140629,16.521875400000003,64.5,70.0,185.608109,22.11,0.51,26.23,1.26,29.88,1.25,28.19,1.54,0,0,388,459,0,7,466,854
12,21.9046879,16.514062900000003,77.0,81.875,206.036926,23.16,0.35,26.67,1.53,29.67,1.18,28.3,1.72,0,0,413,529,0,6,535,948
01,23.3265629,16.9984379,84.5,79.0,98.4047089,24.82,0.3,26.63,1.0,29.51,1.21,28.07,1.5,0,1,583,589,0,4,593,1177
02,23.7015629,18.0843754,80.8125,92.5,102.98910500000001,26.08,-0.06,27.12,0.75,29.1,1.0,27.94,1.22,0,0,1310,1021,0,20,1041,2351
03,23.6859379,18.1468754,75.625,88.3125,106.940552,26.24,-0.4,27.73,0.6,29.21,1.02,28.29,1.08,0,0,1361,991,0,20,1011,2372
04,22.5765629,17.7328129,74.75,89.875,338.221313,26.05,0.45,28.05,0.55,29.25,0.74,28.36,0.59,0,0,943,558,0,14,572,1515
05,22.9750004,17.5609379,65.9375,80.875,270.333221,24.28,0.0,26.97,-0.11,29.03,0.24,27.68,-0.17,0,0,738,474,0,13,487,1225
06,21.8109379,16.9359379,75.3125,75.5,160.198456,22.6,-0.27,25.75,-0.68,28.64,-0.21,27.0,-0.65,0,0,688,397,0,12,409,1097
07,21.8109379,15.8343754,62.84375,87.25,181.52246100000002,20.08,-1.54,24.53,-1.09,28.09,-0.71,26.09,-1.13,0,5,578,316,0,10,326,909
08,22.3421879,16.490625400000003,71.3125,83.4375,130.02883899999998,19.27,-1.37,23.87,-1.12,27.47,-1.2,25.5,-1.32,0,5,480,305,1,5,311,796
09,22.3578129,16.225000400000003,61.3125,83.875,182.408371,18.9,-1.44,23.59,-1.26,27.13,-1.56,25.07,-1.65,0,5,397,256,0,11,267,669
10,21.9671879,16.685937900000003,61.90625,82.8125,283.731171,19.06,-1.73,23.25,-1.66,27.06,-1.6,25.01,-1.68,1,1,287,182,0,6,188,476
11,20.6625004,15.9437504,75.875,83.0,480.27291900000006,20.03,-1.56,23.4,-1.58,27.07,-1.57,25.07,-1.58,0,2,279,183,0,5,188,469
12,20.5296879,15.8812504,72.375,85.4375,214.587494,21.48,-1.34,23.5,-1.64,26.89,-1.6,24.95,-1.62,0,2,215,128,0,2,130,347
01,21.8656254,16.248437900000003,70.0,75.1875,155.179047,24.08,-0.44,24.31,-1.32,26.72,-1.58,24.93,-1.64,0,2,191,96,0,3,99,292
